routine_id,tool_available,reset_rule,start_varsion,type,title,hou_to,reward,estimated_time,comment,sort_order
1,,daily_AM6:00,,daily,魔法の迷宮,魔法の迷宮クリア,ふくびき券*3,3分,ボスコインでサクッと,1
2,,daily_AM6:00,,daily,強ボス,強戦士の書使用,各種オーブ,20~40分,オーブの香水と併用して楽に,2
3,,daily_AM6:00,VER1,daily,日替わり討伐,主要都市入口から受注,10000~40000G,3~10分,強ボスを選ぶと楽です,3
4,〇,daily_AM6:00,,daily,畑,住宅地の畑の世話,植えた種の野菜等,1~5分,冒険者のツールがおすすめ,4
5,,daily_AM6:00,,daily,職人ギルド,各職人ギルド長へ納品,3000~50000G,1~5分,冒険者のツールがおすすめ,5
6,,daily_AM6:00,VER5,daily,魔因細胞,大審門ガブラから効果付与,100000~400000G,40~50分,効率のよいモンスターであればかなり稼げます。,6
7,,daily_AM6:00,VER3,daily,竜牙石,常闇の案内人から効果付与(2時間おきに何度でも),100000~400000G,-,2時間おきに何度でも可能・選ばれるモンスターはランダム(AM6:00に更新される),7
8,,daily_AM6:00,,daily,チームクエスト,お題クリア,チーム染色等,-,いつの間にか終わっているものが多い,8
9,,daily_AM6:00,VER1,daily,クエストリプレイ,各小国で受注 5人リプレイ可能,合計ふくびき券*5,10分,めんどくさい依頼であればスルーがおすすめ,9
10,〇,daily_AM6:00,,daily,釣り,レンドア釣り老師へ納品,おさかなコイン,3~20分,冒険者のツールがおすすめ,10
11,,daily_AM6:00,VER3,daily,常闇,常闇の案内人から(竜牙石*5必要),ドレア｜耐性装備,10~20分,素材だけであれば最弱のIで,11
12,,daily_AM6:00,VER4,daily,聖守護者,摩天の聖廟から(破魔石*10必要),ドレア｜耐性装備,10~60分,素材だけであれば最弱のIで,12
13,,daily_AM6:00,VER6,daily,咎人,レクスルクスの楔,ドレア｜強化装備,10~40分,素材だけであれば最弱のIで,13
14,,daily_AM6:00,,daily,コロシアム,ラッカランのコロシアムにて,ふくびき券*2,10~30分,勝利で1回もらえるが負けることもあります。,14
15,,weekly_sun_AM6:00,VER2,weekly,週替わり討伐,レンダーシアにて受注,経験値｜錬金石｜依頼書,5~10分,強ボスを選ぶと楽です,1
16,,weekly_sun_AM6:00,VER2,weekly,王家の迷宮,勇者テラスより(挑戦権3消費),輝石のベルト｜ゆめみの各箱,5~30分,目当てのベルト完成まではおすすめ　毎週15挑戦権もらえる　※上限60,2
17,,weekly_sun_AM6:00,VER5,weekly,深層の迷宮,勇者テラスより(挑戦権3消費),輝石のベルト｜うつしよの各箱,5~30分,目当てのベルト完成まではおすすめ　毎週15挑戦権もらえる　※上限60,3
18,,weekly_sun_AM6:00,VER2,weekly,ピラミッド,偽ピラミッド,胸装備,10~30分,胸アクセ完成まではおすすめ,4
19,,weekly_sun_AM6:00,,weekly,試練の門,強戦士の書使用,経験値｜ゴールド｜宝珠,30分,宝珠がランダムでもらえるのでおすすめ,5
20,,weekly_sun_AM6:00,VER5,weekly,万魔の塔,万魔の塔,紋章装備｜ふくびき券,30分,紋章アクセ完成まではおすすめ,6
21,,weekly_sun_AM6:00,VER6,weekly,源世庫パニガルム,源世植物研究所,ステータスUP,5~20分,基礎ステータスアップのため毎週行いましょう,7
22,,weekly_sun_AM6:00,VER7,weekly,皇帝の創りしもの,異界アスタルジア,こころ装備,30分,目当てのこころ完成まではおすすめ,8
23,,weekly_sun_AM6:00,VER5,weekly,大魔王の代筆家,大魔王城,経験値｜錬金石｜アイテム,5~20分,簡単なお題であればサクッと,9
24,,weekly_sun_AM6:00,VER6,weekly,天使のフィットネス,神都フォーリオン,経験値｜錬金石｜アイテム,5~20分,簡単なお題であればサクッと,10
